code,description
B20,"Alternative Education Boarding Schools Child Development Education Issues Community-Based Schools Community Learning Centers Extended-Service Schools Full-Service Schools Home-Based Education Home Education Home Schooling Montessori Schools Nontraditional Schools Separately Organized Middle Schools Yeshivas Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve."
B21,Early Childhood Education Head Start Kindergartens Nursery Schools Preschool Education Preschools School Readiness Programs Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.
B24,Elementary Schools Grades 1-4 Grades 1-6 Grades 1-8 K-4 K-6 K-8 Primary Schools Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system.
B28,"Bilingual Education Blind Children Children with Hearing Disabilities Children with Learning Disabilities Deaf Children Developmentally Disabled Children Gifted and Talented Schools Gifted Children Gifted Schools Mentally Retarded Children Special Education Institutions Special Schools TAG Schools Talented and Gifted Schools Visually Impaired Children Organizations that provide educational services including special placement and individualized programming, instruction and support services for children and youth who are gifted or have disabilities and require appropriately modified curricula, teaching methodologies and instructional materials in order to learn."
B25,College Preparatory Schools Grades 7-12 Grades 8-12 Grades 9-12 Grades 10-12 High Schools Junior High Schools Intermediate Schools Pre-Collegiate Education Secondary Schools Senior High Schools Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.
B29,"Charter Schools Schools run independently of the traditional public school system but receiving public funding and operating by a charter.  This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success."
B30,"Auto Mechanics Building Trades Cosmetology High School Vocational Education Industrial Manufacturing Post-Secondary Technical Schools Technical Schools Trade Schools Vocational Centers Vocational Schools Vocational/Technical Schools Vocational/Trade High Schools Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment."
B40,"Institutions of Higher Learning Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. "
B42,Year Colleges Baccalaureate Degrees Bachelor Degrees Bachelor of Arts Degrees Bachelor of Science Degrees Black Colleges Deaf Colleges Four-Year Colleges Liberal Arts Colleges Undergraduate Colleges Educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.
B41,"Year Colleges Associates in Arts Certificates Community Colleges Junior Colleges Two-Year Colleges Postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate."
B60,"Adult Basic Education Adult Education Adult High School Diplomas Adult Literacy Councils Adult Literacy Education Basic Writing Skills Basic Reading Skills Compensatory Learning Continuing Education Elderhostels English as a Second Language ESL Instruction Fundamental Education (Adults) GED Instruction General Educational Development Instruction High School Equivalency Institutes for Learning in Retirement Lifelong Learning Lifetime Learning Institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest."
B70,"Academic Libraries Academic Research Libraries Archival Work Archives Archivists Book and Paper Conservation Book Collections College Libraries College Research Libraries Corporate Libraries Depository Libraries Electronic Libraries Information Centers Law Libraries Law School Libraries Legal Libraries Libraries Library Operation/Programs Media Centers Medical Association Libraries Medical Libraries Medical Society Libraries Military Base Libraries Municipal Libraries National Libraries Online Vendor Services Presidential Libraries Public Libraries Reference Services Religious Libraries Research Libraries School Libraries School Library Media Centers Special Libraries State Libraries University Libraries University Research Libraries Virtual Libraries Facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population."
B90,"Achievement Testing Advanced Placement Testing Afterschool Programs After-School Enrichment Programs After-School Programs After School Programs American College Test Aptitude Testing Business in Schools Programs Cooperative/Community Education College Credit by Examination College Entrance Examinations College Placement Testing College Preparatory Examinations Continuation High Schools Dental Admission Test Distance Education Distance Learning Drop Out Prevention Drop-Out Prevention/Retention Services Dropout Prevention Educational Testing Entrance Examinations Equivalency Tests Extra-School Settings Graduate Management Admission Testing Graduate Program Examinations Graduate Record Examinations Grammar Hotlines High School Competency Testing Homework Assistance Homework Help Homework Hotlines Intelligence Testing Law School Admission Testing Medical College Admission Testing Optometry Admission Testing Out-of-School Hours Programs Preliminary Scholastic Achievement Testing Private School Placement Public, Private Partnerships for Education Return to Education Support Scholastic Aptitude Testing Scholastic Assessment Testing Special Education Assessment Student Retention Student Testing Study Skills Assistance Subject-Specific Tutoring Truancy Counseling Tutoring Century Community Learning Centers Initiative Programs Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life.  Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools."
C20,"Acid Rain Air Pollution Asbestos Removal Asbestos Testing Atmospheric Contamination Carbon Monoxide Testing Clean Air Climatic Change Drinking Water Testing Environmental Hazards Cleanup Environmental Hazards Control Environmental Pollution Environmental Sanitation Global Warming Greenhouse Effect Greenhouse Gases Hazardous Materials Cleanup Hazardous Materials Control Hazardous Materials Monitoring Hazardous Materials Transportation Hazardous Wastes Household Hazardous Wastes Indoor Air Pollution Industrial Hazardous Wastes Landfills Lead Paint Lead Testing Medical Waste Disposal, Noise Pollution Nuclear Wastes Oil Spill Cleanup Pesticides Pollution Abatement Pollution Control Poor Air Quality Radiation Control Radiation Testing Radon Testing Rising Sea Levels Sanitation Sewage Sludge Sites Smog Soil Contaminant Testing Soil Testing Solid Waste Management Tap Water Testing Toxic Substances Toxic Wastes Waste Disposal Waste Management Waste Spills Waste Transport Water Pollution Water Pollution Control Organizations which seek to ensure that communities have a clean and healthful environment that is free from air and water pollution, pesticides and other hazardous substances, damaging radiation and excessive levels of noise."
E22,"Acute Care Critical Access Hospitals Acute Care Hospitals Acute Care Medical Faciltities Acute Care Medical Centers Cardiac Intensive Care Coronary Intensive Care Emergency Rooms Emergicenters General Acute Care Hospitals General Hospitals General Intensive Care High Risk Infant Unit Care Hospital Emergency Care Hospital-Based Emergency Care ICUs Inpatient Hospital Care Intensive Care Medical Centers Military Hospitals Neonatal Intensive Care Neurological Intensive Care Osteopathic hospitals Pediatric Intensive Care Premature Nurseries Respiratory Intensive Care State Hospitals Subacute Care Hospitals Surgical Intensive Care Trauma Centers Veterans Hospitals  Health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
B94,"Congress of Parents & Teachers Congress of Parents and Teachers Parent Teacher and Students Parent Teacher Associations Parent Teacher Organizations PTA PTO PTSA PTSO Organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children."
E20," Twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. "
B50,"Accounting Schools Advertising Schools Agriculture Schools Architectural Schools Business Administration Schools Business Schools Chiropractic Teaching Facilities Dental Schools Divinity Schools Engineering Schools Fine Arts Schools Health Sciences Schools Hotel Administration Schools Information Science Schools Journalism Schools Law Schools Legal Education Library and Information Science Schools Library Schools Management Schools Marketing Schools Medical Schools Nursing Schools Professional Schools Public Administration Schools Public Health Administration Schools Public Health Schools Schools of Education Schools of Teaching Seminaries / Seminary Schools Social Work Schools Teacher Education Theological Schools Theology Schools Veterinary Medicine Schools Veterinary Schools Yeshiva Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate."
E31,"Group Health Practices Health Maintenance Organizations HMOs Managed Care Managed Health Care Primary Health Care Providers Organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals."
E40,"Abortion Clinics Alternative Birthing Services Birth Education Birth Orientation Birthing Centers Childbirth Preparation Centers Delivery/Childbirth Services Early Pregnancy Classes Fertility Treatment Centers Genetic Counseling Human Sexuality Counseling Human Sexuality Education Infertility Treatment Lamaze Maternal and Infant Care Maternity Care Midwifery Natural Childbirth Education Neonatal Care Newborn Infant Care Obstetrics and Gynecology Clinics Post Abortion Care Postpartum Care Pregnancy Termination Clinics Prenatal Care Centers Prenatal Counseling Pro-Choice Counseling Pro-Life Counseling Right to Life Counseling Safe Sex Sex Education Voluntary Sterilization Centers Sterilization Womens Health Centers Organizations that provide medical, educational and counseling services which relate to the conception, delivery and care of offspring. "
E60,"Cooperative Hospital Services Pharmaceutical Services Pharmacies Pharmacology Shock, Trauma Programs Organizations that provide equipment, services or other forms of support which are supplemental to the treatment or rehabilitation of people who have illnesses, injuries or disabilities; or which are instrumental in the prevention of illnesses, injuries or disabilities prior to their occurrence. "
C60,Bush Survival Ecotourism Environmental Education Environmental Interpretive Centers Nature Centers Nature Walks Orienteering Outdoor Education Outdoor Survival Outdoor Survival Skills Outward Bound Wilderness Survival Skills Organizations such as nature centers that provide informal classes which acquaint participants with particular aspects of their environment and increase their understanding of and appreciation for ecological balance.
E80,Advance Care Planning Advance Directives Planning Advance Health Care Planning Advance Medical Planning Black Lung Benefits Trust End of life Care Planning End of life Planning End-of-life Care Planning End-of-life Planning AIDS Drug Assistance Black Lung Benefit Trusts Health Care Cost Containment Bioethics Health Care Costs Health Care Economics Health Care Fees & Charges Health Care Financing Health Insurance Health Insurance Counseling Health Insurance Premium Assistance HMO Financing Hospital Bill Assistance Medical Bioethics Medical Care Costs Medical Ethics Medical Expense Assistance Medical Sociology Medicare Counseling Medigap Insurance Counseling Medication Expense Assistance Patient Care Planning Patient Services Prepaid Health Care Prescription Drug Costs Prescription Expense Assistance Ryan White Consortium State-Sponsored High-Risk Health Coverage Treatment Costs Terminal Care Planning Organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general.
E62,"Advanced Life Support Ambulance Ambulance Transport Basic Life Support, Emergency Medical Air Transport Emergency Medical Care Emergency Medical Services Emergency Medical Technicians Emergency Medical Transport Emergency Medical Vehicle EMS EMT First Aid Squads First Responders Life Squad Lifelines Mercy Flights Rescue Squads Trauma Care Trauma Systems Organizations that provide pre-hospital emergency medical care and rapid transportation to health care facilities."
E99," Organizations that clearly provide medical care services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
E24,Cancer Hospitals Childrens Hospitals Extended Care Hospitals Eye Hospitals Maternity Hospitals Orthopedic Hospitals Rehabilitation Hospitals Shriners Hospitals Specialty Hospitals Womens Hospitals Health care facilities like orthopedic hospitals or cancer hospitals that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions.
F31,"Hospitals for the Mentally Ill Inpatient Mental Health Facilities Inpatient Mental Health Treatment Psychiatric Hospitals State Mental Hospitals Organizations that provide diagnostic and inpatient treatment services for individuals who have acute or chronic mental or emotional disturbances, who require hospitalization."
E90," Organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. "
F50,"Addictive Behavior Compulsive Behavior Computer Addiction Pathological Cravings Shopaholic Workaholic Organizations that provide counseling, medical treatment (where indicated) and other supportive services for individuals who have a psychological dependency involving a particular pattern of behavior, e.g., spending money, sexual compulsions and workaholic behavior."
E42,"Birth Control Birth Spacing Contraception Contraceptives Family Planning Natural Family Planning Planned Parenthood Pregnancy Prevention Organizations that provide assistance for people who want to control the size of their families and the spacing of their children, either through some form of birth control or naturally. "
F70,"Acute Stress Disorder ADD ADHD Adjustment Disorders Affective Disorders Agoraphobia Amnesia Antisocial Personality Disorder Anxiety Disorders Attention Deficit & Disruptive Behavior Disorders Attention Deficit Disorders Attention-Deficiency/Hyperactivity Disorder Avoidant Personality Disorder Bipolar Disorder Body Dymorphic Disorder Borderline Personality Disorder Breathing-Related Sleep Disorder Briquet Syndrome Capgras Syndrome Catatonic Schizophrenia Child Mental Disorders Childhood Mental Health Disorders Circadian Rhythm Sleep Disorder Clereambault Syndrome Cognitive Disorders Conduct Disorders Conversion Disorder Cyclothymic Disorder Delirium Delusional Disorder Dementia Dependent Personality Disorder Depersonalization Disorder Depression Disorganized Schizophrenia Disruptive Behavior Disorders Dissociative Amnesia Dissociative Disorders Dissociative Identity Disorder Dysthymic Disorder Encopresis Enuresis Exhibitionism Factitious Disorders False Memory Syndrome Fetishism Frotteurism Fugue GAD: Ganser Syndrome Gender Dysphoria Gender Identity Disorder Generalized Anxiety Disorders Histrionic Personality Disorder Hypersomnia Hypochondria Hypocondriasis Hysteria Insomnia Intermittent Explosive Disorder Kleptomania Kluver-Bucy Syndrome Manic Depression Masochism Mental Disorders Mental Illness Mood Disorders Multiple Personality Disorder Munchausen Syndrome Mutism Narcissistic Personality Disorder Nightmare Disorder Obsessive-Compulsive Disorders Obsessive-Compulsive Personality Disorder OCD ODD Oppositional Defiant Disorder Organic Mental Disorders Pain Disorders Panic Attacks Panic Disorder Paranoid Personality Disorder Paranoid Schizophrenia Paraphilias Parasomnias Passive-Aggressive Personality Disorder Pedophilia Personality Disorders Postpartum Depression Posttraumatic Stress Syndrome Pseudodementia Pseudopsychosis Psychiatric Illness Psychological Sexual Dysfunctions Psychotic Disorders Psychotic Disorders Pyromania Sadism Schizoid Personality Disorder Schizophrenia Schizotypal Personality Disorder Seasonal Affective Disorder Separation Anxiety Sexual & Gender Identity Disorders Sexual Arousal Disorders Sexual Desires Disorders Sexual Masochism Sexual Sadism Shared Paranoid Schizophrenia Sleep Disorders Sleep Terror Disorder Sleepwalking Disorders Social Phobia Somatoform Disorders Stereotypic Movement Disorder Stress Related Disorders Tic Disorders Tourette Syndrome Transvestic Fetishism Traumatic Psychoses Trichotillomania Vaginismus Voyeurism Organizations that provide preventive, diagnostic and treatment services that focus on a particular mental health disorder."
F21,Addiction Alcohol Abuse Awareness Alcohol Abuse Education Alcohol Abuse Prevention Alcoholism Chemical Dependency D.A.R.E. DARE Drug Abuse Awareness Drug Abuse Education Drug Abuse Prevention Drug Abuse Resistance Education Drug Addiction Substance Abuse Awareness Substance Abuse Education Substance Abuse Prevention Substance Dependence Organizations that provide substance abuse education programs for people who are at risk for substance abuse in an effort to prevent their involvement with drugs and/or alcohol.
